variant,subnode,route_px,stretch_vs_full
one-per-room,room_5_subnode_26,1129.199191212981,1.4495852726219234
one-per-room,room_5_subnode_27,1188.404697388869,1.2104283652438754
one-per-room,room_5_subnode_28,1160.985178067936,1.2608465363346208
one-per-room,room_5_subnode_29,1158.408934950589,1.3387578549396644
one-per-room,room_5_subnode_30,1162.773633748173,1.44911774240803
one-per-room,room_5_subnode_31,1187.2785305268035,1.5970189495014573
one-per-room,room_6_subnode_1,899.4707303516444,1.1179198748917107
one-per-room,room_6_subnode_2,870.3363797751011,1.0600178415091743
one-per-room,room_6_subnode_3,851.5232867441346,1.0208724626952792
one-per-room,room_6_subnode_4,864.5480408676508,1.0024622310932505
one-per-room,room_6_subnode_5,898.4547344746115,1.0004485742418676
one-per-room,room_6_subnode_6,845.6888304601986,1.1082276728839302
one-per-room,room_6_subnode_7,813.1041345791957,1.0433530391207666
one-per-room,room_6_subnode_8,808.9709135316033,1.0041966253908274
one-per-room,room_6_subnode_9,842.5547474604966,1.0015500758940432
one-per-room,room_6_subnode_10,849.221941447201,1.1997992888938587
one-per-room,room_6_subnode_11,790.2441189258675,1.0968534937483363
one-per-room,room_6_subnode_12,748.8782183377874,1.0035908708046235
one-per-room,room_6_subnode_13,787.5624278954953,1.006405721229773
one-per-room,room_6_subnode_14,846.8069453089557,1.0208029599172261
one-per-room,room_6_subnode_15,813.9241600060275,1.2312135913382705
one-per-room,room_6_subnode_16,760.7246785579559,1.1067002613998864
one-per-room,room_6_subnode_17,813.8772648355912,1.0614516802797707
one-per-room,room_6_subnode_18,867.4331103659815,1.450120462557928
one-per-room,room_6_subnode_19,817.326884043216,1.298906694112867
