from,to,dist_normal,dist_accessible,ratio
1_room_24,2_room_13,2885.168439517681,3354.547287479325,1.1626868093843807
1_room_24,2_room_14,1782.3369198577245,4366.586152910135,2.4499218437660475
1_room_24,2_room_22,3042.1865883706378,3042.1865883706378,1.0
1_room_24,2_room_24,2091.7985146838896,4026.342120251528,1.9248231089120857
1_room_24,2_room_28,2257.655307882026,3912.1989134496644,1.7328592632326212
1_room_24,2_room_31,2737.847429481847,3415.822492554561,1.2476306954770757
1_room_25,2_room_13,2909.515947508906,3378.89479547055,1.1613254082224642
1_room_25,2_room_15,1780.8600694074153,4365.109302459825,2.4511242502687614
1_room_25,2_room_18,1877.7240258827615,4261.9732589351715,2.269754873553114
1_room_25,2_room_2,1410.2099259409285,4872.562295936913,3.455203517083326
1_room_25,2_room_22,3066.534096361863,3066.534096361863,1.0
1_room_25,2_room_3,3315.990463058144,3720.977447760665,1.122131528788845
1_room_25,2_room_32,2831.052129020274,3318.73281957776,1.1722612895603073
1_room_25,2_room_7,1423.765358586313,4697.720219123495,3.299504508093919
1_room_25,2_room_9,1534.9070612638227,4608.861921801005,3.002697712528684
1_room_26,2_room_16,1662.0042700330837,2510.79437296427,1.5107027209468544
1_room_26,2_room_19,1556.9567914078464,2064.3255381017234,1.3258720791057401
1_room_26,2_room_20,3053.070812347083,3053.070812347083,1.0
1_room_26,2_room_21,3079.69182467943,3079.69182467943,1.0
1_room_26,2_room_28,2838.678987250114,2838.678987250114,1.0
1_room_26,2_room_30,2439.843804733568,2439.843804733568,1.0
1_room_26,2_room_31,2342.302566355011,2342.302566355011,1.0
1_room_26,2_room_32,2220.865385386985,2220.865385386985,1.0
1_room_26,2_room_9,3141.3036957849763,3510.994487610229,1.117687058504183
1_room_27,2_room_26,1761.3369558332677,1761.3369558332677,1.0
1_room_27,2_room_28,2720.7136752309543,2720.7136752309543,1.0
1_room_27,2_room_31,2224.337254335851,2224.337254335851,1.0
1_room_28,2_room_11,1826.9453063890833,4371.194539441494,2.392624740409478
1_room_28,2_room_2,1601.4248386326117,4734.071581143825,2.956162204394211
1_room_28,2_room_22,2928.0433815687747,2928.0433815687747,1.0
1_room_28,2_room_27,2720.713675230955,2720.713675230955,1.0
1_room_28,2_room_29,2622.791514709844,3825.619391524944,1.4586059814777796
1_room_28,2_room_32,3022.267041711957,3180.242104784672,1.0522703854068534
1_room_29,2_room_11,2026.2247200187644,4398.758224318637,2.1709133152209796
